,card1,card2,card3,card4,card5,card6,card7,card8,tag
168,Ice Wizard,Baby Dragon,Knight,Poison,Tornado,Graveyard,Barbarian Barrel,Bomb Tower,LC2V29GCC
169,Knight,Skeleton Army,Princess,Dart Goblin,Skeleton Barrel,Inferno Tower,Goblin Barrel,The Log,LU0GLCGCV
170,Minions,Prince,Musketeer,Barbarians,Arrows,Witch,Spear Goblins,Baby Dragon,Y0VYPY9V
171,Royal Giant,Wizard,Musketeer,X-Bow,Zap,The Log,Bomber,Fireball,2VQL
172,Skeletons,Electro Wizard,Golem,Bats,Valkyrie,Graveyard,Mini P.E.K.K.A,Magic Archer,L8PL9V
173,P.E.K.K.A,Balloon,Lumberjack,Ice Wizard,Baby Dragon,Tornado,Freeze,Zap,800YRCRQ0
174,Giant Skeleton,Valkyrie,Clone,Arrows,Electro Wizard,Inferno Dragon,Skeleton Army,Minion Horde,2UY22LYVP
175,Inferno Tower,Fireball,Tornado,Ice Wizard,Valkyrie,Lightning,Princess,Knight,2RVRGL0U
176,Prince,Princess,Goblin Barrel,Rascals,The Log,Dart Goblin,Rocket,Goblin Gang,89P2L2UQ
177,Goblins,Spear Goblins,Goblin Barrel,Barbarians,Goblin Hut,Barbarian Hut,Minion Horde,Minions,9VLLQGJY
178,The Log,Magic Archer,Ram Rider,Zap,Mega Knight,Inferno Dragon,Bats,Skeleton Army,YCVYL8JRP
179,Knight,Bowler,Princess,Goblin Gang,Rocket,Minion Horde,Zap,Mini P.E.K.K.A,2G9YR2GRL
180,Goblin Hut,Spear Goblins,Knight,Arrows,Barbarians,Barbarian Hut,Mini P.E.K.K.A,Valkyrie,P9090G09
181,Goblin Gang,Graveyard,Minions,Zap,The Log,Giant,Wizard,Miner,YUCQVVLJR
182,Magic Archer,Electro Dragon,Battle Healer,Elixir Golem,Firecracker,Fireball,Zap,Baby Dragon,8GV89GYJ
183,Zap,Princess,Electro Wizard,Ice Wizard,Minion Horde,Wizard,Inferno Tower,P.E.K.K.A,88JJY9
184,Rage,Valkyrie,Knight,Barbarian Barrel,Mega Minion,Zap,Witch,Balloon,8CPV22RY
185,Inferno Tower,The Log,Goblin Barrel,Goblin Gang,Knight,Ice Spirit,Princess,Rocket,J9L0PJV
186,Knight,Archers,Bomber,Arrows,Fireball,Giant,Musketeer,Witch,PLL9RPV8
187,Goblin Cage,Tornado,Electro Wizard,The Log,X-Bow,Fisherman,Bats,Musketeer,Q00GLLC2J
188,P.E.K.K.A,Bandit,Poison,Electro Wizard,Magic Archer,Battle Ram,Zap,Royal Ghost,2LGL28GPY
189,Furnace,Rage,Giant Skeleton,Balloon,Baby Dragon,Inferno Tower,Fireball,Skeleton Army,90J22GCQC
190,Knight,Archers,Witch,Valkyrie,Fireball,Giant,Prince,Minions,9PP0GQ2L
191,P.E.K.K.A,Executioner,The Log,Miner,Zap,Electro Wizard,Knight,Fireball,2R0Y2299G
192,Hog Rider,Valkyrie,Prince,Arrows,Fire Spirits,Baby Dragon,Archers,Goblin Barrel,9RVJJYLV
193,Mini P.E.K.K.A,Mega Knight,Skeleton Barrel,Tornado,Poison,Executioner,The Log,Valkyrie,2YCJQ2PL
194,Rage,Minions,Spear Goblins,Goblins,Barbarians,Prince,Minion Horde,Goblin Hut,CULQ928
195,Electro Wizard,Goblin Gang,Dart Goblin,Fireball,Musketeer,Bandit,Elixir Golem,P.E.K.K.A,8L88U8RP
196,Minion Horde,Balloon,Elite Barbarians,Mega Knight,Arrows,Valkyrie,Wizard,Rage,GV9CCQ
197,Dart Goblin,Valkyrie,Zap,The Log,Goblin Barrel,Mini P.E.K.K.A,Wizard,Inferno Tower,2CLR28QG9
198,Valkyrie,Spear Goblins,Mini P.E.K.K.A,Mega Minion,Poison,Flying Machine,Goblin Gang,Goblin Hut,R09PJRJQ
199,Knight,Archers,Bomber,Arrows,Witch,Goblins,Musketeer,Mini P.E.K.K.A,PRQJGRGJ
200,Wizard,Zap,Lumberjack,Bomber,Freeze,Balloon,Fire Spirits,Valkyrie,2QRR0RLQC
201,Goblin Gang,P.E.K.K.A,Poison,Graveyard,Sparky,Elixir Collector,Miner,Prince,8LUR0C0Y
202,Balloon,The Log,Hog Rider,Fireball,Freeze,Princess,Cannon Cart,Mega Minion,JGJUGGUU
203,Goblin Gang,Ice Golem,Tesla,The Log,Bats,Miner,Skeletons,Poison,2P22RPUGL
204,Fisherman,Hunter,Skeleton Dragons,Royal Giant,Heal Spirit,Skeletons,Barbarian Barrel,Fireball,2C2G20YGU
205,Baby Dragon,Giant Skeleton,Witch,Balloon,Executioner,Mini P.E.K.K.A,Rage,Inferno Tower,29GP0GQ00
206,Knight,Archers,Valkyrie,Skeleton Army,Fireball,Giant,Minions,Mini P.E.K.K.A,PCYQPQLR
207,Knight,Wizard,Freeze,Fireball,Zap,Furnace,Witch,Graveyard,92LYL92G
208,Bomber,Fireball,Electro Wizard,The Log,Rage,Barbarians,Witch,Giant,8PP2098C
209,Barbarian Hut,Guards,Elixir Collector,Inferno Tower,X-Bow,Skeleton Army,Cannon,Royal Giant,LUJJ9U
210,Archers,Hog Rider,Fireball,Skeleton Army,Minion Horde,Tombstone,Knight,Golem,9GJY0UY0
211,Mirror,Hunter,Cannon,Musketeer,Knight,Bowler,Valkyrie,Princess,2LYP9URVY
212,Spear Goblins,X-Bow,Prince,Giant Skeleton,Witch,Tombstone,Skeleton Army,Goblin Hut,90L2CJVP
213,Tornado,Lumberjack,Golem,Baby Dragon,Poison,Ice Wizard,Mega Minion,Tombstone,2LPPGLQR0
214,Valkyrie,Minion Horde,Balloon,Three Musketeers,Elite Barbarians,Freeze,Elixir Collector,Hog Rider,PGJUPUJY
215,Baby Dragon,Skeleton Barrel,Flying Machine,Electro Wizard,Dark Prince,Bomber,Barbarian Barrel,Poison,92L8920C
216,Giant,Witch,Minions,Inferno Tower,Arrows,Bomber,Tombstone,Miner,LQVYLLV
